meta_score,title,platform,date,user_score,link,esrb_rating,developers,genres
80.0,Catherine Classic,PC,"Jan 10, 2019",7.7,/game/pc/catherine-classic,M,['Atlus'],"['Action Adventure', 'Survival']"
82.0,Sega Ages: Phantasy Star,Switch,"Dec 13, 2018",8.1,/game/switch/sega-ages-phantasy-star,E10+,"['Sega', ' M2']","['Role-Playing', 'Japanese-Style']"
80.0,Sega Genesis Classics,Switch,"Dec 7, 2018",8.2,/game/switch/sega-genesis-classics,T,"['Various', ' D3T Limited']","['Miscellaneous', 'Compilation']"
69.0,Football Manager 2019 Touch,Switch,"Dec 6, 2018",7.2,/game/switch/football-manager-2019-touch,E,['Sega'],"['Sports', 'Team', 'Soccer', 'Management']"
86.0,Monster Boy and the Cursed Kingdom,Switch,"Dec 4, 2018",8.0,/game/switch/monster-boy-and-the-cursed-kingdom,E10+,['FDG Entertainment'],"['Action', 'Action Adventure', 'General', 'Platformer', 'Metroidvania']"
86.0,Football Manager 2019,PC,"Nov 2, 2018",7.1,/game/pc/football-manager-2019,E,['Sports Interactive'],"['Sports', 'Team', 'Soccer', 'Management']"
84.0,Valkyria Chronicles,Switch,"Oct 16, 2018",8.1,/game/switch/valkyria-chronicles,T,['Sega'],"['Strategy', 'Turn-Based', 'Tactics']"
72.0,Fist of the North Star: Lost Paradise,PS4,"Oct 2, 2018",7.7,/game/playstation-4/fist-of-the-north-star-lost-paradise,M,['Ryu ga Gotoku Studios'],"['Action', 'Role-Playing', 'General', 'Action RPG']"
85.0,Valkyria Chronicles 4,PS4,"Sep 25, 2018",8.1,/game/playstation-4/valkyria-chronicles-4,T,"['Sega', ' Media.Vision']","['Strategy', 'Turn-Based', 'Tactics']"
81.0,Valkyria Chronicles 4,XONE,"Sep 25, 2018",7.3,/game/xbox-one/valkyria-chronicles-4,T,['Sega'],"['Strategy', 'Turn-Based', 'Tactics']"
82.0,Valkyria Chronicles 4,Switch,"Sep 25, 2018",8.4,/game/switch/valkyria-chronicles-4,T,['Sega'],"['Strategy', 'Turn-Based', 'Tactics']"
83.0,Valkyria Chronicles 4,PC,"Sep 25, 2018",8.3,/game/pc/valkyria-chronicles-4,T,['Sega'],"['Strategy', 'Turn-Based', 'Tactics']"
80.0,Sega Ages - Lightening Force: Quest for the Darkstar,Switch,"Sep 20, 2018",7.0,/game/switch/sega-ages---lightening-force-quest-for-the-darkstar,E,"['M2', ' TechnoSoft']","['Action', 'Shooter', ""Shoot-'Em-Up"", 'Horizontal']"
77.0,Sega Ages: Sonic the Hedgehog,Switch,"Sep 20, 2018",8.1,/game/switch/sega-ages-sonic-the-hedgehog,E,"['Sonic Team', ' M2']","['Action', 'Platformer', '2D']"
83.0,Two Point Hospital,PC,"Aug 29, 2018",7.5,/game/pc/two-point-hospital,E10+,['Two Point Studios'],"['Simulation', 'Strategy', 'Management', 'Virtual', 'Career', 'Business / Tycoon']"
85.0,Yakuza Kiwami 2,PS4,"Aug 28, 2018",8.4,/game/playstation-4/yakuza-kiwami-2,M,"['Sega', ' Ryu ga Gotoku Studios']","['Action Adventure', 'Open-World']"
75.0,Shenmue I & II,PS4,"Aug 21, 2018",8.3,/game/playstation-4/shenmue-i-ii,T,"['Sega', ' d3t Ltd']","['Miscellaneous', 'Compilation']"
76.0,Shenmue I & II,PC,"Aug 21, 2018",7.9,/game/pc/shenmue-i-ii,T,"['Sega', ' d3t Ltd']","['Miscellaneous', 'Compilation']"
72.0,Shenmue I & II,XONE,"Aug 21, 2018",7.8,/game/xbox-one/shenmue-i-ii,T,"['Sega', ' d3t Ltd']","['Miscellaneous', 'Compilation']"
86.0,Yakuza 0,PC,"Aug 1, 2018",8.6,/game/pc/yakuza-0,M,['Ryu ga Gotoku Studios'],"['Action Adventure', 'Open-World']"
91.0,Sonic Mania Plus,Switch,"Jul 17, 2018",8.7,/game/switch/sonic-mania-plus,E,"['Sega', ' Tantalus']","['Action', 'Platformer', '2D']"
89.0,Sonic Mania Plus,XONE,"Jul 17, 2018",8.4,/game/xbox-one/sonic-mania-plus,E,['Sega'],"['Action', 'Platformer', '2D']"
87.0,Sonic Mania Plus,PS4,"Jul 17, 2018",8.3,/game/playstation-4/sonic-mania-plus,E,['Sega'],"['Action', 'Platformer', '2D']"
